Team,Conference,Year,Target,Win %,Off.Rank,Def.Rank,Avg.Turnover.Margin.per.Game,Points.Per.Game,Avg.Points.per.Game.Allowed,Rush.Yards.Per.Game.Allowed,Rushing.Yards.per.Game,Pass.Yards.Per.Game.Allowed,Pass.Yards.Per.Game,Off.Yards.Play,Yards.Play.Allowed,X3rd.Percent,Opponent.3rd.Percent,Redzone.Points,Redzone.Points.Allowed
Toledo,MAC,2013,0,0.5833333333333334,39,87,0.33,33.0,28.6,170.4,240.6,251.3,206.8,6.37,5.82,0.421,0.455,0.854,0.902
Troy,Sun Belt,2013,0,0.5,27,112,-0.67,34.1,35.9,169.6,141.0,313.6,322.3,6.04,6.67,0.441,0.436,0.792,0.826
Tulane,C-USA,2013,0,0.5384615384615384,115,22,0.85,24.8,21.4,123.7,126.8,228.4,184.9,4.66,4.92,0.359,0.394,0.805,0.735
Tulsa,C-USA,2013,0,0.25,100,93,-0.83,21.1,33.9,198.9,164.8,230.7,191.4,4.69,5.52,0.35,0.44,0.787,0.882
UAB,C-USA,2013,0,0.16666666666666666,78,116,-0.5,26.3,43.8,221.3,178.1,276.5,214.8,5.84,7.21,0.375,0.46,0.861,0.915
UCF,AAC,2013,1,0.9230769230769231,40,29,0.38,34.6,21.3,122.5,159.9,239.5,281.6,6.56,5.35,0.487,0.412,0.866,0.737
UCLA,Pac-12,2013,1,0.7692307692307693,38,54,0.77,36.9,23.2,169.5,196.6,217.6,251.8,6.1,5.08,0.49,0.349,0.859,0.83
UConn,AAC,2013,0,0.25,112,51,-0.08,20.6,30.3,135.4,84.4,249.2,234.2,4.62,5.52,0.342,0.384,0.848,0.844
Utah,Pac-12,2013,0,0.4166666666666667,76,60,-0.83,29.2,28.0,130.3,160.3,267.3,236.3,5.51,5.38,0.342,0.365,0.833,0.86
UTEP,C-USA,2013,0,0.16666666666666666,103,107,-0.5,21.8,39.3,247.8,184.7,220.5,163.3,5.05,7.43,0.401,0.469,0.694,0.9
Vanderbilt,SEC,2013,0,0.6923076923076923,93,23,0.46,30.1,24.6,147.8,139.0,206.9,227.5,5.41,5.07,0.331,0.368,0.893,0.87
Virginia,ACC,2013,0,0.16666666666666666,89,65,-0.42,19.8,33.3,170.7,156.6,232.9,211.8,4.44,5.66,0.38,0.32,0.805,0.891
Virginia Tech,ACC,2013,0,0.6153846153846154,101,4,0.54,22.5,19.3,110.9,119.8,172.7,236.2,5.0,4.55,0.323,0.297,0.738,0.821
Wake Forest,ACC,2013,0,0.3333333333333333,118,32,-0.17,18.3,24.1,143.2,94.1,223.0,196.6,4.35,5.0,0.353,0.363,0.821,0.787
Washington,Pac-12,2013,0,0.6923076923076923,13,55,0.54,37.9,22.8,161.3,239.0,227.2,260.3,6.35,4.98,0.49,0.378,0.885,0.826
Washington St.,Pac-12,2013,0,0.46153846153846156,54,102,-0.38,31.0,32.5,187.2,53.4,270.8,368.0,5.48,5.92,0.395,0.381,0.784,0.804
West Virginia,Big 12,2013,0,0.3333333333333333,62,101,-0.33,26.3,33.3,191.7,148.7,263.3,262.3,5.53,5.93,0.319,0.427,0.8,0.833
Western Ky.,Sun Belt,2013,0,0.6666666666666666,30,14,-0.83,30.8,24.6,161.3,196.8,177.9,261.7,6.29,5.33,0.462,0.451,0.813,0.822
Western Mich.,MAC,2013,0,0.08333333333333333,110,85,-0.67,17.2,35.4,250.0,116.2,169.2,211.0,4.75,5.82,0.309,0.457,0.806,0.827
Wisconsin,Big Ten,2013,0,0.6923076923076923,18,7,0.08,34.8,16.3,102.5,283.8,202.5,197.1,6.85,4.73,0.418,0.306,0.864,0.758
Akron,MAC,2014,0,0.4166666666666667,88,44,-0.17,22.6,23.1,148.6,123.7,222.5,249.6,5.03,5.18,0.343,0.368,0.681,0.756
Alabama,SEC,2014,1,0.8571428571428571,17,12,-0.14,36.9,18.4,102.4,206.6,226.0,277.9,6.66,4.87,0.515,0.378,0.859,0.841
Arizona,Pac-12,2014,0,0.7142857142857143,25,103,0.57,34.5,28.2,169.8,181.9,281.2,281.8,5.7,5.66,0.38,0.405,0.8,0.887
Arizona St.,Pac-12,2014,1,0.7692307692307693,34,81,1.08,36.9,27.9,157.4,168.8,259.7,273.5,5.9,5.62,0.382,0.378,0.906,0.761
Arkansas,SEC,2014,0,0.5384615384615384,60,10,0.54,31.9,19.2,114.6,218.0,208.8,188.0,5.76,5.12,0.471,0.396,0.786,0.697
Arkansas St.,Sun Belt,2014,0,0.5384615384615384,20,83,0.46,36.7,30.5,205.2,216.4,216.0,260.1,6.05,5.62,0.377,0.359,0.81,0.795
Army West Point,FBS Independent,2014,0,0.3333333333333333,102,90,0.17,24.9,32.9,193.0,296.5,237.8,62.3,5.59,6.48,0.409,0.456,0.757,0.893
Auburn,SEC,2014,0,0.6153846153846154,16,64,0.54,35.5,26.7,168.8,255.5,230.1,229.5,6.71,5.67,0.525,0.36,0.879,0.741
Ball St.,MAC,2014,0,0.4166666666666667,92,86,0.75,27.7,27.2,191.1,153.4,237.8,215.8,5.17,5.87,0.384,0.437,0.891,0.745
Baylor,Big 12,2014,1,0.8461538461538461,1,50,1.0,48.2,25.5,117.7,215.5,264.2,365.9,6.64,5.28,0.469,0.386,0.849,0.868
Boston College,ACC,2014,0,0.5384615384615384,80,11,0.08,26.2,21.3,94.5,254.7,229.8,129.3,5.69,5.13,0.362,0.389,0.838,0.833
Bowling Green,MAC,2014,0,0.5714285714285714,41,115,0.71,30.0,33.5,202.1,173.0,291.4,259.9,5.5,5.98,0.377,0.43,0.83,0.776
